config_id,transfer_id,seed,audit_type,domain_role,num_overlapping_groups,num_rows,num_groups,is_posthoc
C4_graph_only,T1_Nordic,46,group_overlap,source,0,100,100,True
C4_graph_only,T1_Nordic,46,group_overlap,target,0,77,77,True
C5_lex_only,T1_Nordic,46,group_overlap,source,0,100,100,True
C5_lex_only,T1_Nordic,46,group_overlap,target,0,77,77,True
C6_no_edges,T1_Nordic,46,group_overlap,source,0,100,100,True
C6_no_edges,T1_Nordic,46,group_overlap,target,0,77,77,True
C7_no_cert_edge,T1_Nordic,46,group_overlap,source,0,100,100,True
C7_no_cert_edge,T1_Nordic,46,group_overlap,target,0,77,77,True
C8_no_registrar_edge,T1_Nordic,46,group_overlap,source,0,100,100,True
C8_no_registrar_edge,T1_Nordic,46,group_overlap,target,0,77,77,True
C9_infra_edges_only,T1_Nordic,46,group_overlap,source,0,100,100,True
C9_infra_edges_only,T1_Nordic,46,group_overlap,target,0,77,77,True
C1_full,T2_PH,42,group_overlap,source,0,325,307,True
C1_full,T2_PH,42,group_overlap,target,0,33,26,True
C2_no_cctld,T2_PH,42,group_overlap,source,0,325,307,True
C2_no_cctld,T2_PH,42,group_overlap,target,0,33,26,True
C3_no_website_lexical,T2_PH,42,group_overlap,source,0,325,307,True
C3_no_website_lexical,T2_PH,42,group_overlap,target,0,33,26,True
C4_graph_only,T2_PH,42,group_overlap,source,0,325,307,True
C4_graph_only,T2_PH,42,group_overlap,target,0,33,26,True
C5_lex_only,T2_PH,42,group_overlap,source,0,325,307,True
C5_lex_only,T2_PH,42,group_overlap,target,0,33,26,True
C6_no_edges,T2_PH,42,group_overlap,source,0,325,307,True
C6_no_edges,T2_PH,42,group_overlap,target,0,33,26,True
C7_no_cert_edge,T2_PH,42,group_overlap,source,0,325,307,True
C7_no_cert_edge,T2_PH,42,group_overlap,target,0,33,26,True
C8_no_registrar_edge,T2_PH,42,group_overlap,source,0,325,307,True
C8_no_registrar_edge,T2_PH,42,group_overlap,target,0,33,26,True
C9_infra_edges_only,T2_PH,42,group_overlap,source,0,325,307,True
C9_infra_edges_only,T2_PH,42,group_overlap,target,0,33,26,True
C1_full,T2_PH,43,group_overlap,source,0,325,307,True
C1_full,T2_PH,43,group_overlap,target,0,33,26,True
C2_no_cctld,T2_PH,43,group_overlap,source,0,325,307,True
C2_no_cctld,T2_PH,43,group_overlap,target,0,33,26,True
C3_no_website_lexical,T2_PH,43,group_overlap,source,0,325,307,True
C3_no_website_lexical,T2_PH,43,group_overlap,target,0,33,26,True
C4_graph_only,T2_PH,43,group_overlap,source,0,325,307,True
C4_graph_only,T2_PH,43,group_overlap,target,0,33,26,True
C5_lex_only,T2_PH,43,group_overlap,source,0,325,307,True
C5_lex_only,T2_PH,43,group_overlap,target,0,33,26,True
C6_no_edges,T2_PH,43,group_overlap,source,0,325,307,True
C6_no_edges,T2_PH,43,group_overlap,target,0,33,26,True
C7_no_cert_edge,T2_PH,43,group_overlap,source,0,325,307,True
C7_no_cert_edge,T2_PH,43,group_overlap,target,0,33,26,True
C8_no_registrar_edge,T2_PH,43,group_overlap,source,0,325,307,True
C8_no_registrar_edge,T2_PH,43,group_overlap,target,0,33,26,True
