iteration,relation,source_edges_reweighted,multiplier_min,multiplier_mean,multiplier_max,edge_weight_min,edge_weight_mean,edge_weight_max,clip_min,clip_max,target_observed_pairs,transfer_id,method,seed
2,referenced_by,0,,,,0.6931471824645996,0.7417847514152527,1.043596863746643,0.1,10.0,0.0,T2_ON,strurw,42
1,hosted_on,859,0.5116731517509727,4.1495523439260875,10.0,0.41321709752082825,1.1813908815383911,3.7135720252990723,0.1,10.0,12.0,T2_ON,dann_strurw,42
1,uses_cert,300,1.0,1.0,1.0,0.6931471824645996,1.0211973190307617,1.6094379425048828,0.1,10.0,0.0,T2_ON,dann_strurw,42
1,uses_ns,915,0.31304347826086953,1.1015078386507995,3.5999999999999996,0.27234771847724915,0.7082971930503845,2.1041340827941895,0.1,10.0,44.0,T2_ON,dann_strurw,42
1,registered_via,107,0.21875,1.6064672067310146,8.125,0.19782574474811554,0.7622279524803162,2.8478121757507324,0.1,10.0,6.0,T2_ON,dann_strurw,42
1,referenced_by,0,,,,0.6931471824645996,0.7417847514152527,1.043596863746643,0.1,10.0,0.0,T2_ON,dann_strurw,42
2,hosted_on,859,1.0,1.0,1.0,0.41321709752082825,1.1813908815383911,3.7135720252990723,0.1,10.0,0.0,T2_ON,dann_strurw,42
2,uses_cert,300,1.0,1.0,1.0,0.6931471824645996,1.0211973190307617,1.6094379425048828,0.1,10.0,0.0,T2_ON,dann_strurw,42
2,uses_ns,915,0.5806451612903225,1.41610145239655,3.5999999999999996,0.29053959250450134,0.8023099899291992,3.2928693294525146,0.1,10.0,4.0,T2_ON,dann_strurw,42
2,registered_via,107,0.4375,1.5795493718400488,8.125,0.0913962796330452,0.8631647229194641,4.8905839920043945,0.1,10.0,2.0,T2_ON,dann_strurw,42
2,referenced_by,0,,,,0.6931471824645996,0.7417847514152527,1.043596863746643,0.1,10.0,0.0,T2_ON,dann_strurw,42
